"Ensembl_ID","control_rep2","exp_rep3","exp_rep2","exp_rep1","control_rep1","control_rep3"
"ENSG00000260743.1",13,14,13,23,20,24
"ENSG00000171109.19",3051,2981,3740,3720,3504,4083
"ENSG00000289574.1",3,2,8,12,9,3
"ENSG00000114450.11",530,513,467,504,661,644
"ENSG00000181260.8",3,5,4,1,4,2
"ENSG00000136518.17",6737,7971,8405,8393,7710,9463
"ENSG00000272910.1",4,17,16,15,9,17
"ENSG00000272660.1",1,2,5,2,5,3
"ENSG00000136522.14",4831,5633,5443,5911,5147,6390
"ENSG00000136521.13",2295,2586,2570,3044,2530,3090
"ENSG00000288698.1",5,2,7,5,3,5
"ENSG00000243977.1",2,3,5,6,3,5
"ENSG00000058056.10",1296,1348,1281,1359,1382,1803
"ENSG00000114757.19",136,118,98,121,181,195
"ENSG00000239774.1",3,3,2,8,2,2
"ENSG00000163728.11",781,793,999,1130,870,1057
"ENSG00000284862.3",12,8,17,14,13,20
"ENSG00000114416.19",17578,17081,18038,18772,20774,24820
"ENSG00000205981.9",1540,1898,1910,1768,1763,2135
"ENSG00000242808.12",15,10,2,7,9,14
"ENSG00000242140.1",1,2,3,1,2,3
"ENSG00000206932.1",11,3,8,8,11,9
"ENSG00000181449.4",1450,1398,495,588,1577,1872
"ENSG00000228766.3",1,2,3,1,5,1
"ENSG00000240063.1",3,5,2,0,3,4
"ENSG00000058063.16",6738,6162,6638,6718,8469,9414
"ENSG00000273261.1",15,20,8,14,17,24
"ENSG00000043093.15",4571,4967,5774,6628,5723,6579
"ENSG00000078070.14",1855,2122,2397,2204,2216,2690
"ENSG00000243368.2",0,1,3,5,2,3
"ENSG00000078081.8",111,142,169,137,133,159
"ENSG00000053524.13",42,40,34,25,50,76
"ENSG00000176597.12",2624,2847,3147,3336,3177,3613
"ENSG00000291106.1",428,511,528,538,502,621
"ENSG00000253092.1",1,3,5,3,2,3
"ENSG00000172578.12",1,5,7,5,3,4
"ENSG00000114796.16",3089,3593,5309,5351,4179,4749
"ENSG00000163872.16",6034,6332,8277,7275,7554,8809
"ENSG00000233885.7",10,17,27,26,18,16
"ENSG00000180834.8",6,18,10,7,9,6
"ENSG00000175193.14",806,955,991,1037,874,1045
"ENSG00000114770.17",2730,2861,3148,2975,3070,3739
"ENSG00000223529.1",96,158,128,85,85,72
"ENSG00000205955.4",6,13,4,7,7,10
"ENSG00000273181.1",6,4,8,5,11,12
"ENSG00000272721.5",15,10,12,15,11,16
"ENSG00000145191.15",4670,5265,5422,5153,5131,6353
"ENSG00000228205.1",84,147,96,95,99,128
"ENSG00000161202.20",6905,8310,8211,7800,7884,9745
"ENSG00000161203.14",19763,26556,22511,22800,21934,28060
"ENSG00000161204.12",3571,4100,3810,3877,3797,4908
"ENSG00000145198.15",906,874,504,521,1007,1198
"ENSG00000214160.10",3263,4781,3998,3957,3689,4657
"ENSG00000284753.2",358,508,434,431,386,422
"ENSG00000163888.4",61,118,70,66,101,126
"ENSG00000175166.17",28400,33678,30863,31913,31402,38243
"ENSG00000114867.22",51477,61194,58479,60553,57650,73343
"ENSG00000175182.15",687,873,745,703,755,1027
"ENSG00000114859.16",972,1268,1364,1260,1204,1410
"ENSG00000163882.10",3922,5467,5412,5040,4407,5424
"ENSG00000090534.20",290,361,216,249,319,414
"ENSG00000289500.2",19,9,19,10,14,17
"ENSG00000090539.16",266,344,218,247,293,368
"ENSG00000182580.3",1461,1808,1370,1241,1724,2219
"ENSG00000177383.5",3770,4803,4938,4613,4450,5503
"ENSG00000272970.5",53,83,98,96,71,95
"ENSG00000273403.1",6,9,3,5,5,6
"ENSG00000156931.16",3510,3418,3794,3991,3973,4655
"ENSG00000187068.3",182,262,363,434,201,282
"ENSG00000113790.11",988,1148,1552,1595,1176,1424
"ENSG00000073803.14",908,2001,2099,2226,1025,1197
"ENSG00000229638.1",708,1035,828,740,726,960
"ENSG00000163900.11",2671,3346,4434,4069,3197,3799
"ENSG00000286086.1",4,3,3,9,5,4
"ENSG00000163898.10",394,501,819,874,702,687
"ENSG00000163904.13",4062,4496,5122,5372,4875,5857
"ENSG00000073792.16",13411,15725,16451,16585,15735,18938
"ENSG00000163915.7",2,3,9,0,4,2
"ENSG00000136527.19",15948,19198,17331,18806,17982,22176
"ENSG00000244405.8",2331,3315,3311,3328,2784,3317
"ENSG00000234197.1",0,3,3,0,1,4
"ENSG00000058866.15",132,85,54,59,147,199
"ENSG00000226859.1",3,9,8,8,3,12
"ENSG00000213139.8",19,24,38,20,30,23
"ENSG00000113838.13",968,991,1125,1145,1097,1303
"ENSG00000090520.12",5581,6902,7488,7747,6130,7647
"ENSG00000283390.1",5,20,20,9,12,13
"ENSG00000145192.13",138,169,445,156,436,361
"ENSG00000113905.5",5,2,5,2,4,11
"ENSG00000113889.14",8,10,34,11,20,20
"ENSG00000263826.1",12,18,11,14,15,21
"ENSG00000156976.17",22270,25114,31994,28751,28849,32931
"ENSG00000163918.12",2389,2866,2704,2602,2773,3354
"ENSG00000232233.1",4,6,2,0,8,4
"ENSG00000289971.1",8,13,4,9,6,12
"ENSG00000223803.1",38,52,52,28,41,48
"ENSG00000073849.16",12638,14648,15055,15144,14830,17639
"ENSG00000163923.10",850,1078,1081,950,946,1169
"ENSG00000175077.6",0,2,4,3,2,0
"ENSG00000127241.18",1071,1647,2919,2817,1552,1817
"ENSG00000283175.1",0,7,9,7,5,8
"ENSG00000136514.3",2,4,5,1,1,0
"ENSG00000228952.1",8,5,10,3,16,22
"ENSG00000157005.4",1058,1337,156,166,894,1266
"ENSG00000113916.18",581,715,925,871,719,772
"ENSG00000285938.1",7,3,15,5,5,7
"ENSG00000290021.1",4,3,15,15,8,12
"ENSG00000224049.1",0,3,3,0,2,1
"ENSG00000225058.1",3,1,2,5,0,1
"ENSG00000236412.1",1,6,2,3,2,0
"ENSG00000270959.2",62,71,73,76,65,70
"ENSG00000145012.15",12131,11889,19947,20017,16155,16477
"ENSG00000188001.10",7,12,18,25,19,21
"ENSG00000073282.14",3,16,66,38,7,16
"ENSG00000090530.10",3711,4443,4708,4569,3938,5138
"ENSG00000230077.1",0,2,3,0,2,3
"ENSG00000225764.3",6,9,6,8,2,4
"ENSG00000163347.6",3165,4217,5315,5562,3854,4315
"ENSG00000113946.4",10,26,43,28,26,22
"ENSG00000198398.3",1,4,9,5,2,4
"ENSG00000196083.11",964,1206,1536,1421,1182,1347
"ENSG00000205835.9",1,9,9,13,13,10
"ENSG00000188958.10",4,10,10,6,11,8
"ENSG00000152492.15",5864,6675,6806,7286,6883,8031
"ENSG00000114279.15",304,299,187,249,342,379
"ENSG00000230126.1",13,13,3,8,13,19
"ENSG00000226709.1",11,10,12,12,5,10
"ENSG00000289165.2",4,1,4,0,1,3
"ENSG00000180611.7",1902,2055,1946,1897,2128,2375
"ENSG00000236229.1",2,1,4,1,2,1
"ENSG00000127252.7",261,341,282,234,271,314
"ENSG00000187527.12",3,5,12,8,9,14
"ENSG00000236508.1",6,7,5,6,2,4
"ENSG00000127249.15",233,203,523,514,249,324
"ENSG00000236297.2",2,1,4,2,4,5
"ENSG00000198836.11",8537,8676,10493,10812,10350,11936
"ENSG00000224855.5",2,2,2,4,3,3
"ENSG00000207370.1",2,1,4,2,0,3
"ENSG00000287206.1",3,4,6,4,3,8
"ENSG00000229155.2",1790,1945,2158,2171,1937,2389
"ENSG00000214146.3",4,4,4,3,3,7
"ENSG00000230102.8",8,10,16,4,12,7
"ENSG00000232874.1",4,8,20,7,6,9
"ENSG00000289385.1",5,3,1,0,0,2
"ENSG00000114315.4",5735,7654,7445,7110,6500,7954
"ENSG00000225742.6",67,75,81,86,50,55
"ENSG00000228271.2",3,2,2,1,0,0
"ENSG00000214145.8",40,64,50,29,33,40
"ENSG00000178772.7",4,1,0,6,4,12
"ENSG00000172061.9",11,10,11,15,19,23
"ENSG00000178732.6",2,4,0,5,1,2
"ENSG00000133657.17",18456,18099,25888,26120,22572,24723
"ENSG00000233058.3",317,335,322,350,412,475
"ENSG00000244675.2",3,2,8,3,6,5
"ENSG00000231770.8",137,171,180,203,163,169
"ENSG00000288979.1",24,30,23,20,36,27
"ENSG00000145014.18",823,958,990,841,939,1073
"ENSG00000229334.2",14,33,18,10,16,19
"ENSG00000272707.1",4,6,15,5,5,14
"ENSG00000041802.11",4142,4437,4609,4662,4479,5610
"ENSG00000185112.6",91,122,168,194,105,136
"ENSG00000173950.16",2897,3889,3227,3320,3293,4029
"ENSG00000287005.1",8,1,5,6,3,3
"ENSG00000114331.16",1962,1966,2825,2867,2720,2709
"ENSG00000229325.1",5,5,7,4,7,4
"ENSG00000184203.8",2658,2817,2717,3318,3174,3555
"ENSG00000223711.2",5,4,6,7,3,10
"ENSG00000236844.1",8,10,6,2,4,1
"ENSG00000189058.9",9,23,13,15,11,8
"ENSG00000224769.1",6,1,7,6,8,5
"ENSG00000289929.1",10,11,26,13,12,16
"ENSG00000282206.1",6,0,6,3,4,6
"ENSG00000271662.1",13,20,13,17,20,25
"ENSG00000229178.1",6,5,4,4,6,7
"ENSG00000242086.8",204,200,297,271,256,237
"ENSG00000207650.1",7,4,8,9,5,10
"ENSG00000176945.18",53,44,54,76,69,71
"ENSG00000145113.22",321,308,361,333,364,399
"ENSG00000223783.1",2,1,3,3,1,2
"ENSG00000061938.21",1139,1372,1224,1092,1298,1569
"ENSG00000286004.1",9,10,23,11,16,32
"ENSG00000224614.2",9,4,5,8,3,9
"ENSG00000290762.1",59,58,64,78,87,85
"ENSG00000239122.1",1,2,3,0,2,8
"ENSG00000231443.2",14,12,24,12,16,22
"ENSG00000290763.1",64,79,130,100,91,118
"ENSG00000286168.2",5,3,1,3,3,1
"ENSG00000231464.1",0,4,1,1,2,5
"ENSG00000072274.14",10759,11521,16104,15226,13383,15475
"ENSG00000228413.1",0,3,5,2,1,2
"ENSG00000163958.14",4,6,4,3,4,3
"ENSG00000163959.10",75,96,122,122,105,118
"ENSG00000161217.12",4150,4017,5137,5269,4612,5400
"ENSG00000213123.11",234,290,222,281,254,310
"ENSG00000237418.1",0,5,5,5,1,0
"ENSG00000235897.1",2,7,6,8,2,1
"ENSG00000163960.12",8645,8710,10750,11519,10987,12217
"ENSG00000243339.3",9,15,24,13,12,16
"ENSG00000225822.4",0,2,3,2,1,1
"ENSG00000163961.4",2400,2568,2567,2906,2978,3486
"ENSG00000273013.1",4,2,1,1,2,6
"ENSG00000225770.1",1,9,6,4,1,3
"ENSG00000185798.8",587,618,723,664,677,773
"ENSG00000174013.8",2407,2628,2721,2940,2912,3300
"ENSG00000232065.2",5,8,5,9,9,7
"ENSG00000288990.2",0,2,2,7,1,0
"ENSG00000174004.6",36,50,32,23,34,63
"ENSG00000163964.18",1980,2236,2438,2562,2423,2640
"ENSG00000174007.9",323,379,421,393,344,454
"ENSG00000180370.10",14946,15680,18068,19692,17887,20783
"ENSG00000272359.1",6,4,5,11,3,3
"ENSG00000289446.1",6,2,2,2,7,0
"ENSG00000119231.11",3076,3457,4172,4025,3796,4471
"ENSG00000230732.4",2,4,4,8,2,4
"ENSG00000114503.11",8775,10314,12508,12357,10407,12719
"ENSG00000225578.1",7,8,9,15,12,19
"ENSG00000270170.2",1276,1785,1600,1477,1315,1654
"ENSG00000119227.8",444,642,757,650,571,630
"ENSG00000286017.1",16,18,19,20,9,12
"ENSG00000163975.14",556,726,1063,1027,646,815
"ENSG00000228109.2",13,25,23,18,15,32
"ENSG00000075711.21",6570,6731,8487,8078,8122,9183
"ENSG00000289396.1",6,3,14,18,18,10
"ENSG00000227375.6",7,17,10,9,11,11
"ENSG00000286870.1",0,4,2,3,6,2
"ENSG00000272989.1",10,9,11,4,7,19
"ENSG00000161267.12",854,970,854,812,919,1148
"ENSG00000291091.1",379,406,488,494,453,507
"ENSG00000249626.1",55,59,66,66,76,83
"ENSG00000273308.1",3,10,8,7,6,7
"ENSG00000286909.1",18,28,30,25,26,29
"ENSG00000145016.17",615,700,721,752,741,914
"ENSG00000122068.13",5310,5587,5861,6027,6179,7017
"ENSG00000273375.1",0,5,0,0,3,4
"ENSG00000186001.14",2971,3220,3827,3610,3564,4248
"ENSG00000234742.1",41,67,60,43,36,44
"ENSG00000114473.14",721,705,719,750,816,936
"ENSG00000182899.17",37753,56570,50766,48721,44635,54599
"ENSG00000185621.11",564,581,699,644,643,781
"ENSG00000213113.3",2,4,2,1,0,0
"ENSG00000290937.1",62,70,88,72,79,90
"ENSG00000272602.6",858,903,1085,1068,1041,1262
"ENSG00000289361.1",35,58,61,85,73,82
"ENSG00000250312.8",846,871,1042,1098,974,1129
"ENSG00000275426.1",1,5,3,4,8,2
"ENSG00000250892.1",4,6,4,9,7,10
"ENSG00000290382.1",145,141,142,176,149,162
"ENSG00000198155.6",11,7,9,9,20,4
"ENSG00000251188.1",82,84,119,111,110,106
"ENSG00000251689.1",57,44,74,50,63,81
"ENSG00000186777.13",503,453,517,524,530,640
"ENSG00000286705.2",8,7,8,10,8,17
"ENSG00000131127.14",1378,1439,1632,1840,1705,1901
"ENSG00000250321.1",17,24,26,22,18,23
"ENSG00000281016.1",4,2,2,2,1,3
"ENSG00000272885.1",12,8,7,17,10,17
"ENSG00000293360.1",92,104,103,132,121,117
"ENSG00000251595.8",7,3,7,5,12,8
"ENSG00000182903.16",1677,1650,2318,2206,2122,2460
"ENSG00000174227.16",2573,2995,3692,3541,2682,3362
"ENSG00000273238.3",24,46,10,18,42,33
"ENSG00000283183.4",26,32,25,20,39,53
"ENSG00000133256.13",385,461,453,467,501,506
"ENSG00000242686.4",3,3,6,5,0,4
"ENSG00000272927.1",13,10,9,14,20,16
"ENSG00000169020.10",2751,4254,3778,3339,3333,4045
"ENSG00000215375.7",239,288,283,257,217,312
"ENSG00000169026.13",65,71,49,49,73,77
"ENSG00000185619.19",3277,3878,4621,4554,3873,4693
"ENSG00000272588.1",1,1,2,4,3,2
"ENSG00000249592.7",271,293,352,398,373,410
"ENSG00000233799.1",0,5,4,2,3,8
"ENSG00000168993.15",273,327,203,182,284,338
"ENSG00000289983.1",14,14,24,19,13,15
"ENSG00000178950.18",4045,4783,4842,4712,4467,5694
"ENSG00000127419.17",414,528,499,400,439,582
"ENSG00000145214.14",1283,1601,1504,1347,1344,1636
"ENSG00000145217.14",131,122,110,122,113,123
"ENSG00000127415.13",255,363,300,287,272,312
"ENSG00000127418.15",9601,14069,10117,9992,10846,13462
"ENSG00000178222.14",92,114,112,87,81,135
"ENSG00000251639.2",2,5,1,5,2,2
"ENSG00000159674.12",34,101,103,50,88,68
"ENSG00000280927.1",41,37,49,28,35,33
"ENSG00000159692.18",5928,7952,6730,6631,6418,8472
"ENSG00000196810.6",1101,1374,1386,1249,1242,1580
"ENSG00000090316.16",4932,6641,6224,5836,5403,6927
"ENSG00000163945.19",1509,1456,2224,2085,1833,2008
"ENSG00000244459.4",11,16,14,19,17,23
"ENSG00000174137.14",67,72,58,36,54,88
"ENSG00000163950.13",5004,5781,5640,5562,5609,6769
"ENSG00000013810.21",7191,9100,7314,7317,8013,10141
"ENSG00000168936.12",2817,3609,3467,3064,3017,3959
"ENSG00000068078.20",3334,4289,4418,4026,3621,4802
"ENSG00000168924.15",6528,8357,7871,7791,7681,9201
"ENSG00000109685.19",14296,15978,16394,16348,17142,20394
"ENSG00000185049.16",2607,3220,2750,2625,2855,3584
"ENSG00000243449.8",436,704,353,216,427,517
"ENSG00000185818.8",4021,5362,4053,3876,4672,5810
"ENSG00000130997.16",9,11,18,10,15,10
"ENSG00000214367.10",214,209,252,298,301,307
"ENSG00000123933.17",5965,8042,7160,7212,6332,8006
"ENSG00000159733.14",41,50,63,47,65,71
"ENSG00000206113.12",4,5,9,2,4,11
"ENSG00000063978.17",4981,5994,6752,6233,5701,7129
"ENSG00000125386.16",2472,3102,3181,2971,2899,3503
"ENSG00000168884.15",1444,1973,1693,1708,1503,2007
"ENSG00000087266.17",2152,2564,2662,2459,2618,3121
"ENSG00000087274.19",14659,17381,17828,17425,17043,21045
"ENSG00000109736.15",2943,4093,3389,3301,3485,4274
"ENSG00000249673.9",806,927,878,819,906,1026
"ENSG00000087269.16",6640,7585,7843,7739,7512,9354
"ENSG00000125388.20",332,355,336,312,336,391
"ENSG00000197386.14",12653,13695,16293,15530,14556,17051
"ENSG00000188981.11",18,18,14,23,10,16
"ENSG00000159788.20",2289,2805,2702,2649,2550,3170
"ENSG00000248840.3",8,10,15,9,9,3
"ENSG00000293213.1",2,4,3,10,6,3
"ENSG00000109758.9",10,12,17,16,11,23
"ENSG00000175920.18",4,12,8,10,12,12
"ENSG00000163956.13",10612,15354,13810,13825,11905,15233
"ENSG00000250986.1",29,58,35,35,44,60
"ENSG00000184160.8",274,414,328,262,304,453
"ENSG00000251271.3",11,16,10,13,16,22
"ENSG00000290374.1",333,377,352,354,352,411
"ENSG00000290888.1",11,21,22,17,20,8
"ENSG00000250710.3",2,4,0,2,1,3
"ENSG00000132406.12",970,1178,1268,1320,1189,1394
"ENSG00000289032.1",3,3,8,10,8,8
"ENSG00000145220.14",2575,2786,2614,2839,2830,3678
"ENSG00000168826.16",170,197,259,218,233,253
"ENSG00000168824.15",3053,3678,2329,2282,3310,4151
"ENSG00000168818.10",2229,2685,2635,2887,2404,2871
"ENSG00000247708.8",274,260,319,318,346,365
"ENSG00000280310.1",21,28,25,16,28,24
"ENSG00000163132.8",12,15,17,14,16,16
"ENSG00000251587.1",5,3,5,3,6,4
"ENSG00000170891.11",13,17,9,5,26,26
"ENSG00000152953.13",53,42,25,30,54,70
"ENSG00000082929.8",1,3,0,2,2,2
"ENSG00000173040.13",451,500,514,505,485,616
"ENSG00000072840.13",1580,1657,2025,1907,1906,2336
"ENSG00000072832.15",9189,9668,7067,7378,10074,12599
"ENSG00000289414.2",13,6,5,3,7,6
"ENSG00000181215.17",11,8,4,8,8,14
"ENSG00000152969.21",2,2,2,5,1,4
"ENSG00000290803.1",55,37,15,14,51,54
"ENSG00000109501.15",4096,5533,4058,4247,4583,5776
"ENSG00000286176.2",7,7,19,12,12,7
"ENSG00000074211.14",332,411,320,310,385,470
"ENSG00000013288.9",2812,3405,3281,3096,3094,3915
"ENSG00000179010.16",25469,31065,28755,30293,28866,35248
"ENSG00000251580.3",75,85,84,82,83,119
"ENSG00000170846.17",1196,1442,1525,1368,1349,1669
"ENSG00000246526.3",3,4,2,7,3,10
"ENSG00000163993.7",229,331,432,398,247,325
"ENSG00000178988.11",4864,5636,6005,6082,5592,6842
"ENSG00000186222.5",1247,1620,1573,1493,1328,1673
"ENSG00000170871.12",7778,7793,9980,9924,9580,10575
"ENSG00000132405.19",3395,3733,4446,4157,4044,4942
"ENSG00000287104.2",66,77,60,50,84,92
"ENSG00000245748.1",4,6,10,12,11,11
"ENSG00000173013.6",147,264,162,194,181,258
"ENSG00000173011.12",1926,2379,2253,2317,2143,2776
"ENSG00000109519.14",4309,5614,5289,5264,5157,6448
"ENSG00000245468.5",11,4,5,6,2,8
"ENSG00000184985.17",314,383,348,375,413,454
"ENSG00000178597.7",587,728,424,390,683,866
"ENSG00000272620.2",7,7,13,20,11,15
"ENSG00000196526.11",1310,1184,1481,1536,1358,1659
"ENSG00000228919.5",1,0,3,2,0,2
"ENSG00000163995.22",123,123,85,85,119,158
"ENSG00000290015.1",10,9,16,12,9,12
"ENSG00000250471.2",16,23,13,11,21,9
"ENSG00000125089.18",526,694,653,627,598,817
"ENSG00000170801.10",357,460,451,387,407,473
"ENSG00000249145.5",0,2,1,1,2,2
"ENSG00000251615.3",43,96,66,77,86,73
"ENSG00000087008.16",606,695,733,696,703,850
"ENSG00000155275.19",770,939,929,906,830,1122
"ENSG00000205959.4",36,29,44,47,54,50
"ENSG00000155269.12",0,3,6,4,0,8
"ENSG00000109625.19",1,5,6,4,7,5
"ENSG00000215612.8",54,213,206,194,65,84
"ENSG00000284636.1",4,10,5,5,11,8
"ENSG00000271057.1",2,1,0,0,5,7
"ENSG00000288075.1",375,224,204,217,438,511
"ENSG00000287972.1",17,8,10,3,22,19
"ENSG00000249767.1",5,1,3,4,4,2
"ENSG00000163612.10",3,2,4,3,4,3
"ENSG00000284648.1",12,8,11,13,29,27
"ENSG00000287117.1",5,2,6,2,2,10
"ENSG00000250942.1",5,3,6,1,1,8
"ENSG00000186234.7",1,1,2,1,3,2
"ENSG00000109667.12",43,52,56,45,62,79
"ENSG00000169676.6",7,7,4,3,4,3
"ENSG00000071127.18",29618,39356,36782,38644,33063,40774
"ENSG00000289865.1",2,0,3,0,1,2
"ENSG00000178163.8",4167,4561,5404,5518,4814,5818
"ENSG00000249334.1",8,6,5,1,2,8
"ENSG00000250896.1",31,33,30,16,21,26
"ENSG00000002587.10",223,365,235,272,238,323
"ENSG00000287778.2",4,2,3,1,5,6
"ENSG00000205940.9",5,10,6,4,11,6
"ENSG00000157869.16",1317,1560,1672,1733,1562,1780
"ENSG00000109705.8",2,1,4,2,3,3
"ENSG00000246095.2",2,2,3,9,4,0
"ENSG00000038219.13",4205,3985,5888,5323,5129,5795
"ENSG00000250634.6",6,2,3,1,5,10
"ENSG00000248360.7",0,4,3,2,4,9
"ENSG00000137449.17",356,415,531,626,477,587
"ENSG00000249252.5",0,0,2,0,2,4
"ENSG00000048342.18",1167,1208,1528,1490,1259,1518
"ENSG00000273133.1",10,7,8,10,3,8
"ENSG00000118564.15",4171,4775,5020,4898,4793,5706
"ENSG00000237765.8",811,913,1048,1174,937,1196
"ENSG00000109743.11",100,99,95,100,101,105
"ENSG00000214846.4",4,18,17,5,7,11
"ENSG00000004468.13",2,5,10,11,4,2
"ENSG00000137440.5",4,10,20,33,12,8
"ENSG00000137441.8",3,3,2,4,3,5
"ENSG00000007062.12",35161,45688,58089,59440,42510,50980
"ENSG00000169762.17",1415,1727,1819,2132,1571,1849
"ENSG00000263327.6",67,87,95,93,88,107
"ENSG00000169744.13",116,71,77,44,98,148
"ENSG00000151552.13",5241,6389,5267,5263,6016,7411
"ENSG00000002549.13",3868,4562,4822,4789,4728,5826
"ENSG00000249502.3",10,6,3,4,16,7
"ENSG00000118579.13",10018,11842,13067,12980,12297,13969
"ENSG00000047662.5",15,23,25,27,29,45
"ENSG00000163257.11",3307,3148,3766,3509,3857,4316
"ENSG00000109805.10",5261,5586,5605,5891,5821,6981
"ENSG00000178177.17",2098,2156,2424,2599,2648,2889
"ENSG00000235413.3",9,4,10,18,6,13
"ENSG00000286046.1",2,4,3,4,3,2
"ENSG00000241612.1",6,15,11,9,5,5
"ENSG00000145147.20",2235,2630,3064,2766,2443,3010
"ENSG00000163138.19",948,1165,1271,1249,1110,1366
"ENSG00000185774.17",47,66,69,90,55,44
"ENSG00000286318.1",3,8,9,8,2,6
"ENSG00000250039.4",5,2,1,0,4,1
"ENSG00000152990.14",9875,11341,12849,12030,11892,13916
"ENSG00000244538.1",17,32,32,21,26,25
"ENSG00000249948.7",213,248,227,293,204,242
"ENSG00000237350.1",120,149,167,147,111,195
"ENSG00000109819.9",85,96,109,122,132,159
"ENSG00000289201.1",9,9,8,5,9,11
"ENSG00000109606.13",19339,21877,25861,25151,22994,26930
"ENSG00000207697.1",8,15,21,10,21,25
"ENSG00000261121.2",4,4,4,1,5,5
"ENSG00000109610.6",288,368,271,245,257,309
"ENSG00000181982.20",869,1014,1207,1121,1019,1179
"ENSG00000153012.12",1660,1407,1628,1625,1833,2148
"ENSG00000109618.13",641,645,855,825,759,840
"ENSG00000281501.1",36,48,57,42,53,73
"ENSG00000038210.14",1961,2068,2401,2714,2320,2697
"ENSG00000168228.16",658,801,986,836,802,949
"ENSG00000053900.11",1584,1561,1763,1786,1691,2168
"ENSG00000248608.2",3,3,4,4,1,4
"ENSG00000157765.13",1419,1406,1791,1463,1654,2063
"ENSG00000242640.1",2,4,4,0,1,4
"ENSG00000250050.1",5,5,9,11,6,6
"ENSG00000091490.11",12002,12631,15649,15696,14192,16642
"ENSG00000250317.9",1434,1793,2070,1987,1765,2039
"ENSG00000168214.22",8368,8897,10208,11119,10703,11717
"ENSG00000163394.6",0,4,0,0,7,7
"ENSG00000109680.11",611,641,616,607,646,774
"ENSG00000109689.20",1011,1183,1220,1210,1227,1462
"ENSG00000240005.7",4,4,4,1,4,5
"ENSG00000251410.2",3,2,1,1,0,3
"ENSG00000286321.1",5,11,12,13,15,15
"ENSG00000250927.1",0,2,4,1,2,3
"ENSG00000288940.1",14,25,28,29,21,33
"ENSG00000286596.1",51,59,67,65,44,71
"ENSG00000169851.16",13967,16069,18108,18422,16004,18568
"ENSG00000249678.1",6,4,4,4,5,4
"ENSG00000251434.1",25,15,44,23,11,17
"ENSG00000251129.3",1689,671,581,593,2003,2293
"ENSG00000286212.2",1,0,3,2,1,3
"ENSG00000239983.1",0,6,2,1,2,2
"ENSG00000047365.13",721,788,1032,1126,926,1006
"ENSG00000197057.10",13,12,7,2,8,8
"ENSG00000261761.5",6,8,10,5,5,2
"ENSG00000174145.8",62,101,157,120,81,98
"ENSG00000154274.15",1894,2208,2729,2760,2074,2483
"ENSG00000288073.1",4,3,2,2,3,6
"ENSG00000248936.1",2,7,4,5,6,4
"ENSG00000181826.10",2404,2972,3217,3607,2793,3412
"ENSG00000169299.14",3698,4613,5421,5411,4271,4926
"ENSG00000279386.1",27,36,41,30,42,32
"ENSG00000249863.2",66,91,124,119,84,109
"ENSG00000065882.18",5328,6307,5565,5980,6246,7498
"ENSG00000251332.1",1,7,0,3,3,2
"ENSG00000231160.12",124,146,225,178,156,188
"ENSG00000109787.13",8121,8958,11422,11849,10017,11399
"ENSG00000174125.8",26,18,30,25,24,26
"ENSG00000174130.13",25,24,25,23,21,29
"ENSG00000197712.12",2030,2362,3038,2996,3032,3249
"ENSG00000121895.8",69,42,38,49,75,76
"ENSG00000109790.18",16356,16398,17767,19618,19141,22441
"ENSG00000249207.2",81,54,64,81,73,79
"ENSG00000249685.1",34,23,35,17,33,32
"ENSG00000157796.18",1254,1244,1455,1400,1545,1722
"ENSG00000035928.17",6783,6764,7747,7841,7880,9749
"ENSG00000134962.7",89,67,134,103,155,176
"ENSG00000163682.17",107783,158764,145933,151297,116758,144288
"ENSG00000121897.15",822,1055,1071,1155,1070,1253
"ENSG00000293167.1",3,4,2,2,2,7
"ENSG00000109814.12",14071,15974,17079,18743,17036,20691
"ENSG00000249348.2",185,204,245,242,246,293
"ENSG00000287262.1",42,61,50,48,62,60
"ENSG00000163683.12",6025,7064,8695,9682,7909,8542
"ENSG00000255458.9",14,22,25,16,14,20
"ENSG00000078140.14",14067,15706,16279,18016,16886,19346
"ENSG00000243260.3",0,1,2,4,2,0
"ENSG00000180610.10",1,3,4,2,8,5
"ENSG00000121892.15",12254,12330,15221,14763,14779,16958
"ENSG00000250568.1",19,26,24,13,24,24
"ENSG00000231707.4",19,23,24,22,18,16
"ENSG00000078177.15",4440,3785,5344,5747,5520,6061
"ENSG00000260296.1",69,76,91,67,101,97
"ENSG00000286089.1",0,0,3,3,1,2
"ENSG00000168421.14",216,228,154,168,251,306
"ENSG00000249241.2",0,4,4,2,3,6
"ENSG00000174343.6",3,1,3,4,4,6
"ENSG00000163694.15",9295,10758,12760,13716,11523,13207
"ENSG00000250893.1",0,2,10,4,5,3
"ENSG00000179299.17",519,639,787,695,719,853
"ENSG00000248780.1",4,15,13,5,11,12
"ENSG00000163697.18",6197,7051,8943,9535,7601,8536
"ENSG00000250906.1",1,1,6,5,3,6
"ENSG00000154277.13",13968,18392,14080,13558,15240,18922
"ENSG00000064042.18",976,1236,1802,1588,1098,1343
"ENSG00000287762.1",1,2,3,0,2,1
"ENSG00000109132.7",39,8,3,8,30,34
"ENSG00000250467.1",0,2,1,1,4,4
"ENSG00000245870.5",13,3,1,0,10,10
"ENSG00000109133.14",7315,7859,8195,9566,8772,9945
