"Ensembl_ID","control_rep2","exp_rep3","exp_rep2","exp_rep1","control_rep1","control_rep3"
"ENSG00000157870.17",2632,3607,3043,2975,2861,3482
"ENSG00000177133.14",647,811,648,582,652,893
"ENSG00000142611.17",3170,3145,3192,3087,3436,4228
"ENSG00000226286.1",6,4,7,4,0,2
"ENSG00000279839.1",0,2,2,1,3,1
"ENSG00000272235.1",13,16,13,7,8,18
"ENSG00000287828.1",14,27,15,15,26,20
"ENSG00000286518.1",4,7,0,6,6,8
"ENSG00000130762.15",1946,2446,2474,2414,2146,2692
"ENSG00000272088.1",5,10,6,5,5,3
"ENSG00000162591.17",4525,6371,5000,5093,4538,5885
"ENSG00000238260.3",2,10,10,14,8,7
"ENSG00000158109.15",5709,6878,6516,6349,6233,7707
"ENSG00000116213.16",1106,1619,1654,1434,1303,1530
"ENSG00000078900.16",78,102,114,93,102,112
"ENSG00000227589.1",5,1,1,0,3,2
"ENSG00000293478.1",1270,1635,1671,1504,1641,1822
"ENSG00000162592.10",8,10,9,10,10,15
"ENSG00000235169.11",104,159,91,120,105,168
"ENSG00000130764.10",4288,5664,5303,4889,4914,6074
"ENSG00000266075.2",1,4,5,5,1,5
"ENSG00000272153.1",21,24,28,23,18,26
"ENSG00000116198.14",2534,2719,3041,3001,2770,3364
"ENSG00000169598.17",834,976,1048,999,886,1070
"ENSG00000198912.12",1322,1846,1941,1717,1626,2040
"ENSG00000236423.8",19,33,43,40,27,19
"ENSG00000196581.11",32,44,43,26,42,40
"ENSG00000131697.18",633,778,809,717,835,920
"ENSG00000069424.16",259,305,210,177,256,362
"ENSG00000116254.18",13,10,13,12,14,14
"ENSG00000116251.11",15829,17329,18164,20625,17200,21588
"ENSG00000226944.1",20,38,20,13,21,26
"ENSG00000158286.13",182,221,346,271,272,301
"ENSG00000116237.16",12406,14516,14838,15473,14025,16502
"ENSG00000225077.3",41,39,32,24,38,52
"ENSG00000158292.7",633,968,659,633,788,961
"ENSG00000097021.21",6024,9527,6483,6859,6611,8531
"ENSG00000271746.1",2,2,7,0,4,1
"ENSG00000069812.11",353,515,626,550,445,512
"ENSG00000187017.18",679,1000,1044,1139,796,916
"ENSG00000215788.11",160,217,268,216,235,268
"ENSG00000171680.23",1585,1919,1809,1697,1751,2156
"ENSG00000162408.11",1662,1515,1899,1670,1954,2026
"ENSG00000173662.21",1,2,2,2,2,6
"ENSG00000204859.13",684,926,756,776,795,1052
"ENSG00000162413.17",2816,3743,3067,3165,3118,3810
"ENSG00000116273.6",2740,3494,3288,3086,3248,3903
"ENSG00000041988.16",805,1151,1178,1002,905,1246
"ENSG00000007923.17",4216,4752,4951,5025,4757,5964
"ENSG00000237436.1",18,11,11,7,8,17
"ENSG00000171735.21",2884,3923,3902,3827,3460,4284
"ENSG00000270171.1",6,1,2,2,4,6
"ENSG00000270035.1",5,4,6,7,9,5
"ENSG00000269978.1",10,8,9,11,7,9
"ENSG00000049245.13",9521,11045,11135,12421,10385,12869
"ENSG00000269925.1",22,27,36,32,26,37
"ENSG00000049246.15",163,164,190,149,215,258
"ENSG00000236266.1",0,0,2,4,3,3
"ENSG00000049249.10",2245,2274,2732,3055,2675,3000
"ENSG00000116288.13",14268,18374,17006,16934,15811,19670
"ENSG00000200344.1",1,2,3,7,4,3
"ENSG00000284747.1",7,11,22,12,16,19
"ENSG00000284716.1",0,0,3,0,3,2
"ENSG00000116285.13",9986,11779,17506,17203,12761,14361
"ENSG00000238290.1",0,4,1,5,7,4
"ENSG00000162426.16",67,95,48,40,80,93
"ENSG00000142599.20",6612,8026,7598,7538,7748,9533
"ENSG00000234619.1",0,2,0,3,2,0
"ENSG00000074800.16",172263,229020,176889,180244,183187,235261
"ENSG00000230679.1",3,7,3,3,5,3
"ENSG00000238249.2",4,13,5,5,3,5
"ENSG00000197241.4",3,5,6,3,5,3
"ENSG00000142583.18",11,11,13,7,18,15
"ENSG00000180758.12",403,418,445,487,463,503
"ENSG00000228526.8",146,233,356,325,235,260
"ENSG00000234546.5",99,161,146,186,118,113
"ENSG00000049239.13",4692,5297,6435,6158,5713,6682
"ENSG00000171621.14",822,1029,954,912,1026,1033
"ENSG00000284652.1",1,5,4,3,4,7
"ENSG00000284693.2",13,19,11,11,8,29
"ENSG00000171612.7",1991,2459,2521,2601,2312,2885
"ENSG00000231181.1",18,28,45,34,32,21
"ENSG00000188807.13",2005,2904,1950,2120,2139,2720
"ENSG00000171608.18",1028,1330,1068,1111,1196,1407
"ENSG00000231789.4",133,181,79,101,139,183
"ENSG00000171603.18",16671,20924,20432,20562,18636,22996
"ENSG00000178585.15",8178,11499,13117,13801,8808,11202
"ENSG00000285701.1",2,0,3,5,2,2
"ENSG00000162441.12",4596,5225,6186,6811,5334,6290
"ENSG00000228150.1",6,24,23,12,23,22
"ENSG00000173614.14",1164,1348,1493,1501,1303,1608
"ENSG00000202415.1",2,2,1,2,2,2
"ENSG00000162444.12",30,32,37,27,37,44
"ENSG00000130939.20",9261,9818,11057,11240,10711,12429
"ENSG00000054523.20",10394,10178,12090,12391,12346,14304
"ENSG00000284735.1",19,23,12,18,24,24
"ENSG00000284642.1",23,29,36,21,32,46
"ENSG00000142657.21",29442,36785,30846,33151,32912,40807
"ENSG00000251503.8",22,22,22,22,11,28
"ENSG00000175279.22",144,146,115,206,144,184
"ENSG00000241563.4",3,11,8,3,3,8
"ENSG00000160049.12",7665,8220,9115,8747,9173,10689
"ENSG00000142655.13",1667,2389,2013,1988,1975,2357
"ENSG00000287727.1",4,3,4,4,9,2
"ENSG00000130940.15",1335,1332,1597,1614,1538,1834
"ENSG00000272078.1",33,45,26,48,26,55
"ENSG00000175262.15",82,72,42,42,91,136
"ENSG00000120948.19",18685,21178,22176,22621,21760,26064
"ENSG00000009724.18",74,75,106,92,78,125
"ENSG00000116649.10",7352,11118,7269,7834,7910,10550
"ENSG00000171824.14",5323,6258,6632,6175,6120,7578
"ENSG00000230337.3",9,8,11,7,10,8
"ENSG00000198793.14",7652,8068,9546,8871,8959,10633
"ENSG00000171819.5",4,7,13,5,10,11
"ENSG00000238173.1",1,9,11,2,2,4
"ENSG00000120942.14",1956,2357,2359,2398,2220,2779
"ENSG00000238199.1",2,1,1,3,5,1
"ENSG00000204624.8",181,204,108,129,219,226
"ENSG00000284708.1",3,4,5,2,2,4
"ENSG00000116661.11",1257,2010,1698,1599,1392,1867
"ENSG00000132879.14",1234,1734,1478,1407,1227,1679
"ENSG00000116670.16",4103,5623,4467,4133,4145,5447
"ENSG00000116663.11",138,177,159,177,128,210
"ENSG00000162490.7",756,971,853,871,851,936
"ENSG00000177674.16",2521,3349,2691,2626,2575,3337
"ENSG00000215910.8",2,4,0,1,2,2
"ENSG00000177000.13",1242,1200,1450,1370,1353,1654
"ENSG00000011021.23",917,1062,1370,1127,1184,1338
"ENSG00000175206.11",4,8,8,7,12,8
"ENSG00000120937.9",2463,4411,4696,4238,3214,3808
"ENSG00000285646.2",31,65,42,63,53,73
"ENSG00000116685.17",4686,6162,5680,5234,5087,6424
"ENSG00000083444.17",12796,16421,15872,16205,14298,18130
"ENSG00000116688.18",8782,10633,10857,10854,10117,11923
"ENSG00000116691.11",1645,2077,1663,1675,1714,2296
"ENSG00000202461.1",3,1,1,2,4,3
"ENSG00000120949.15",21,19,22,15,20,23
"ENSG00000028137.19",17,33,29,33,22,27
